sain,description,title
s4x4ndz0,"These slim-fitting jeans will make a stylish contribution to your wardrobe. Cotton rich in a light wash denim, they are designed with added stretch for an improved fit, a narrow hem and lower rise. Style with a crewneck jumper and desert boots for a laid-back look.<br /><ul><li>Light denim wash slim jeans</li><li>Slim fit</li><li>cotton rich</li><li>Button and zip fastening</li><li>With stretch</li><li>Five pockets</li><li>Lower rise</li><li>Narrow hem</li><li>Model&#039;s height is 6&#039;2&#039;&#039;</li><li>Model wears a size 34R</li></ul>",Light Denim Wash Slim Jean With Stretch - W36 L34
w30rpy1k,"<p>Set of 4 Rectangular Nesting Food Containers made from plastic styrene material giving a glass like effect. Space saving design. Air Tight snap together Lids designed with rubber seal. Contains 4 Sizes 400ml 650ml 1100ml 1800ml. Dishwasher, Freezer and Microwave safe. Ideal for Fridge/Display/Cupboard Storage. <br \><br \></p><p>Features:</p><ul><li>Airtight seal. </li><li>BPA free. </li></ul><p>General information:</p><ul><li>Microwave safe, freezer safe and dishwasher safe. </li><li>EAN: 5014348329353. </li></ul>",Thumbs Up Set of 4 Rectangular Nesting Food Containers
wrrrkx74,"<p>Stream 50 million songs with Apple Music and download your favourites. Experience amazing gaming and augmented reality apps with the A10 Fusion chip. Featuring a 4-inch Retina display that gives you a beautiful canvas for photos and video. Stay connected to family and friends with Messages and Group FaceTime. And add more personality to your selfies with stickers and filters. </p><p>Key features</p><ul><li>4-inch retina display. </li><li>Your favourite music, gaming and AR apps in your pocket. </li><li>A10 Fusion chip for up to 2x faster performance, up to 3x faster graphics. </li><li>Group FaceTime with family and friends. Connect using Wi-Fi and Bluetooth. </li><li>4 inch screen size with a . </li><li>Multi-touch screen. </li><li>Built-in volume controls, mic, video camera, wi-Fi, Bluetooth, . </li><li>Front and back facing cameras- back facing cameras are needed to use face time. </li><li>HD 1080p video capture. </li></ul><p>Technical specifications</p><ul><li>32GB storage . </li><li>This product features the new connector called Lightning. It&apos;s smaller and smarter, and with an adaptor (sold separately), it will still work with the devices you already have. </li><li>Preloaded with iOS 12 software. </li><li>Recharge through USB port. </li></ul><p>Requirements</p><ul><li>Requires iTunes to manage the device. </li></ul><p>General information</p><ul><li>Provides up to 40 hours music playback or up to 8 hours of video playback. </li><li>Includes apple earpods, lightning to USB cable, quick start guide. </li><li>Size H12.34, W5.86, D0.61 cm. </li><li>EAN: 888462352567. </li></ul>",Apple iPod Touch 7th Generation 32GB - Space Grey
vb1sadsf,"These slim-fitting jeans will make a stylish contribution to your wardrobe. Cotton rich in a light wash denim, they are designed with added stretch for an improved fit, a narrow hem and lower rise. Style with a crewneck jumper and desert boots for a laid-back look.<br /><ul><li>Light denim wash slim jeans</li><li>Slim fit</li><li>cotton rich</li><li>Button and zip fastening</li><li>With stretch</li><li>Five pockets</li><li>Lower rise</li><li>Narrow hem</li><li>Model&#039;s height is 6&#039;2&#039;&#039;</li><li>Model wears a size 34R</li></ul>",Light Denim Wash Slim Jean With Stretch - W38 L30
pq59a1h8,"<p>Stream 50 million songs with Apple Music and download your favourites. Experience amazing gaming and augmented reality apps with the A10 Fusion chip. Featuring a 4-inch Retina display that gives you a beautiful canvas for photos and video. Stay connected to family and friends with Messages and Group FaceTime. And add more personality to your selfies with stickers and filters. </p><p>Key features</p><ul><li>4-inch retina display. </li><li>Your favourite music, gaming and AR apps in your pocket. </li><li>A10 Fusion chip for up to 2x faster performance, up to 3x faster graphics. </li><li>Group FaceTime with family and friends. Connect using Wi-Fi and Bluetooth. </li><li>4 inch screen size with a . </li><li>Multi-touch screen. </li><li>Built-in volume controls, mic, video camera, wi-Fi, Bluetooth, . </li><li>Front and back facing cameras- back facing cameras are needed to use face time. </li><li>HD 1080p video capture. </li></ul><p>Technical specifications</p><ul><li>32GB storage . </li><li>This product features the new connector called Lightning. It&apos;s smaller and smarter, and with an adaptor (sold separately), it will still work with the devices you already have. </li><li>Preloaded with iOS 12 software. </li><li>Recharge through USB port. </li></ul><p>Requirements</p><ul><li>Requires iTunes to manage the device. </li></ul><p>General information</p><ul><li>Provides up to 40 hours music playback or up to 8 hours of video playback. </li><li>Includes apple earpods, lightning to USB cable, quick start guide. </li><li>Size H12.34, W5.86, D0.61 cm. </li><li>EAN: 888462352567. </li></ul>",Apple iPod Touch 7th Generation 32GB - Gold
vm63jjen,"These slim-fitting jeans will make a stylish contribution to your wardrobe. Cotton rich in a light wash denim, they are designed with added stretch for an improved fit, a narrow hem and lower rise. Style with a crewneck jumper and desert boots for a laid-back look.<br /><ul><li>Light denim wash slim jeans</li><li>Slim fit</li><li>cotton rich</li><li>Button and zip fastening</li><li>With stretch</li><li>Five pockets</li><li>Lower rise</li><li>Narrow hem</li><li>Model&#039;s height is 6&#039;2&#039;&#039;</li><li>Model wears a size 34R</li></ul>",Light Denim Wash Slim Jean With Stretch - W38 L32
bpqtmnpe,"<p>For use with the FoodSaver vacuum sealing system, FoodSaver leftover containers are a 3-piece set of 0.7L containers. Ideal for using as a lunchbox or to preserve leftovers, the containers are microwavable and dishwasher safe. Convenient for delicate items, liquids and dry goods, the leftover containers create airtight storage for food. <br \><br \></p><p>Prepare and store meals for a week with these refrigerator-friendly, lightweight containers and lids. <br \><br \></p><p>Use the hose on your FoodSaver vacuum sealing machine with the lunch containers to love your leftovers and preserve your food for longer. </p><p>Features:</p><ul><li>Material: plastic. </li><li>Airtight seal. </li></ul><p>General information:</p><ul><li>Microwave safe, dishwasher safe. </li><li>EAN: 5060134332786. </li></ul>",FoodSaver Lunch and Leftover Containers - Set of 3.
p3akagf0,"<p>For use with the FoodSaver vacuum sealing system, FoodSaver rolls are used to lock in the freshness and preserve the life of your food. The rolls can be used in the fridge, freezer or microwave and to simmer food in a pan. You can use the rolls to create custom sized bags for vacuum sealing your food. <br \><br \></p><p>Made of patented, heavy-duty 5-ply material with special channels that enable the efficient and complete removal of air. Prevents freezer burn. <br \><br \></p><p>Locks out air and moisture. Seals in freshness. Unique design maximises air removal. Preserves food flavour. Each roll measures 550 x 28cm. </p><p>Features:</p><ul><li>Material: plastic. </li><li>Airtight seal. </li><li>BPA free. </li></ul><p>General information:</p><ul><li>Microwave safe, freezer safe and dishwasher safe. </li><li>EAN: 5060134334308. </li></ul>",FoodSaver Replacement Rolls for Food Sealing System - 2 Pack
wpsfdtr6,"These slim-fitting jeans will make a stylish contribution to your wardrobe. Cotton rich in a light wash denim, they are designed with added stretch for an improved fit, a narrow hem and lower rise. Style with a crewneck jumper and desert boots for a laid-back look.<br /><ul><li>Light denim wash slim jeans</li><li>Slim fit</li><li>cotton rich</li><li>Button and zip fastening</li><li>With stretch</li><li>Five pockets</li><li>Lower rise</li><li>Narrow hem</li><li>Model&#039;s height is 6&#039;2&#039;&#039;</li><li>Model wears a size 34R</li></ul>",Light Denim Wash Slim Jean With Stretch - W38 L34
rxbqc0fd,"<p>Stream 50 million songs with Apple Music and download your favourites. Experience amazing gaming and augmented reality apps with the A10 Fusion chip. Featuring a 4-inch Retina display that gives you a beautiful canvas for photos and video. Stay connected to family and friends with Messages and Group FaceTime. And add more personality to your selfies with stickers and filters. </p><p>Key features</p><ul><li>4-inch retina display. </li><li>Your favourite music, gaming and AR apps in your pocket. </li><li>A10 Fusion chip for up to 2x faster performance, up to 3x faster graphics. </li><li>Group FaceTime with family and friends. Connect using Wi-Fi and Bluetooth. </li><li>4 inch screen size with a . </li><li>Multi-touch screen. </li><li>Built-in volume controls, mic, video camera, wi-Fi, Bluetooth, . </li><li>Front and back facing cameras- back facing cameras are needed to use face time. </li><li>HD 1080p video capture. </li></ul><p>Technical specifications</p><ul><li>256GB storage . </li><li>This product features the new connector called Lightning. It&apos;s smaller and smarter, and with an adaptor (sold separately), it will still work with the devices you already have. </li><li>Preloaded with iOS 12 software. </li><li>Recharge through USB port. </li></ul><p>Requirements</p><ul><li>Requires iTunes to manage the device. </li></ul><p>General information</p><ul><li>Provides up to 40 hours music playback or up to 8 hours of video playback. </li><li>Includes apple earpods, lightning to USB cable, quick start guide. </li><li>Size H12.34, W5.86, D0.61 cm. </li><li>EAN: 888462352567. </li></ul>",Apple iPod Touch 7th Generation 256GB - Silver
