sainsburys-sku,sain,argos-sku
125076324,mwb27zt2,8939207
129721896,nhsft7mw,5986909
129271338,5fecsty0,5323603
128735090,rd225qwy,2443548
126816620,tyndbtz1,1705249
133926691,dg65e1et,8457411
136028416,cdchzrkz,9308693
119209792,xwm342jq,7024584
124188851,de5m5je6,3823105
134038581,twvwskfq,1217476
129999767,_91r7c5av,7378096
123254650,_tttbkvn3,8891558
133336579,_6n72tt16,3342277
135949256,_r8pcjtxm,8559395
135948835,_em5x0enr,8805403
133336552,_5mdgq2sq,7362325
134023769,_dvwyab53,8245654
135950003,_zdhjy24c,8245647
135950978,_gzsw0sdn,8668602
133336616,_fw5k76d2,7983773
122265496,_px8b7mw2,5533369
