sainsburys-sku,title,description
129999767,KitSound Metro Bluetooth On Ear Headphones Black,The KitSound Metro Headphones make it easy to use Bluetooth to heighten your listening experience. Immerse yourself in the music that you love with up to eight hours of play time. KitSound Metro headphones prove that wireless capability doesn't have to be complicated. Just a simple push of a button will connect you to your device so you can listen without the distraction of wires.
123254650,Pure Siesta DAB/ FM Digital Alarm,Listen to your favourite stations without the crackle you may have had to put up with on your traditional radio. Make full use of the snooze option and spend a few more minutes in bed. This digital alarm clock radio has a sleep timer function which lets you slowly drop off to your favourite music.
133336579,Bush Mini DAB/FM Digital Radio-Cream,"Materials: 70% Plastic, 10% Metal, 20% Leather"
135949256,Juice Jumbo Marshmallow White,"The Juice Jumbo Marshmallow is an all-round great Bluetooth speaker. It comes with a handy carry pouch making it perfect for the house and taking on holiday. With a charge time of just 2.5 hours you will never be left without sound for long. With a battery capacity of 800mAh, you will get unlimited playback time for 4 hours. Small and compact, great for on the go!"
135948835,Juice Jumbo Marshmallow Bluetooth Speaker Black,"The Juice Jumbo Marshmallow is an all-round great Bluetooth speaker. It comes with a handy carry pouch making it perfect for the house and taking on holiday. With a charge time of just 2.5 hours you will never be left without sound for long. With a battery capacity of 800mAh, you will get unlimited playback time for 4 hours."
133336552,Bush Wooden DAB Radio with Bluetooth,"Materials: 70% Plastic, 10% Wood, 20% Metal"
134023769,Kitsound Boombar Plus Rose Gold,"Discover a portable wireless speaker that packs a punch; with high fidelity drivers, and a passive bass radiator for impressive depth and sound wherever you go, and up to 20 hours of play time and a 3 hour recharge, so the party only stops when you want it to."
135950003,Kitsound Boombar Plus Wireless Speaker Black,"Discover a portable wireless speaker that packs a punch; with high fidelity drivers, and a passive bass radiator for impressive depth and sound wherever you go, and up to 20 hours of play time and a 3 hour recharge, so the party only stops when you want it to."
135950978,Sony Xb01 Speaker Black,"Introducing Sony's new compact wireless speaker, the XB01, giving you powerful sound from a small package and letting you take the party everywhere with you. The SRS XB01 lets you pump up the volume even more with EXTRA BASS technology, enhancing every beat."
133336616,Bush Classic Retro Mini AM/FM Radio,"A flashback from the 50s, this neat little radio combines trendy retro appeal with a super-handy design. Finished to a high standard, you can plug it into the mains or pop in batteries to take it on the road. Hook up your MP3 player or smartphone via AUX to play your favourite tracks. The carry handle makes it easy to take this radio outside for when you want to listen in the garden. 5 hours' battery life is ideal for listening out and about."
122265496,Nicky Clarke Frizz Control Hair Dryer NHD177,"Fight the frizz and achieve salon-smooth hair at home with this Nicky Clarke NHD177 Frizz Control 2200W Dryer. Ionic technology helps to speed up the drying process and locks-in moisture - reducing static for a sleek, glossy finish. The slim concentrator nozzle and cool shot setting further enhance the smoothness."
125076324,Bosch Village Collection Kettle Black,"Bosch quality at an everyday price. Stylish design and easy to use, with flip-top lid and water level indicator on the outside. 1.7l capacity, removable lime scale filter in spout and cord wrap for tidy display. Automatic shut off for safety as well as overheating and run-dry protection and lift switch-off"
